     NATURALEZA

ID: 1, Nombre: Activa
ID: 2, Nombre: Afable
ID: 3, Nombre: Agitada
ID: 4, Nombre: Alegre
ID: 5, Nombre: Alocada
ID: 6, Nombre: Audaz
ID: 7, Nombre: Audaz
ID: 8, Nombre: Cauta
ID: 9, Nombre: Docil
ID: 10, Nombre: Firme
ID: 11, Nombre: Floja
ID: 12, Nombre: Fuerte
ID: 13, Nombre: Grosera
ID: 14, Nombre: Huraña
ID: 15, Nombre: Ingenua
ID: 16, Nombre: Mansa
ID: 17, Nombre: Miedosa
ID: 18, Nombre: Modesta
ID: 19, Nombre: Osada
ID: 20, Nombre: Picara
ID: 21, Nombre: Placida
ID: 22, Nombre: Rara
ID: 23, Nombre: Serena
ID: 24, Nombre: Seria
ID: 25, Nombre: Timida
